"","package","month","total"
"507","ASSA",2013-06-01,0
"508","ASSA",2013-07-01,0
"509","ASSA",2013-08-01,0
"510","ASSA",2013-09-01,0
"511","ASSA",2013-10-01,0
"512","ASSA",2013-11-01,0
"513","ASSA",2013-12-01,0
"514","ASSA",2014-01-01,0
"515","ASSA",2014-02-01,0
"516","ASSA",2014-03-01,0
"517","ASSA",2014-04-01,0
"518","ASSA",2014-05-01,0
"519","ASSA",2014-06-01,0
"520","ASSA",2014-07-01,0
"521","ASSA",2014-08-01,0
"522","ASSA",2014-09-01,0
"523","ASSA",2014-10-01,0
"524","ASSA",2014-11-01,0
"525","ASSA",2014-12-01,0
"526","ASSA",2015-01-01,0
"527","ASSA",2015-02-01,0
"528","ASSA",2015-03-01,0
"529","ASSA",2015-04-01,0
"530","ASSA",2015-05-01,0
"531","ASSA",2015-06-01,0
"532","ASSA",2015-07-01,0
"533","ASSA",2015-08-01,0
"534","ASSA",2015-09-01,0
"535","ASSA",2015-10-01,0
"536","ASSA",2015-11-01,0
"537","ASSA",2015-12-01,0
"538","ASSA",2016-01-01,0
"539","ASSA",2016-02-01,0
"540","ASSA",2016-03-01,0
"541","ASSA",2016-04-01,0
"542","ASSA",2016-05-01,0
"543","ASSA",2016-06-01,0
"544","ASSA",2016-07-01,0
"545","ASSA",2016-08-01,0
"546","ASSA",2016-09-01,0
"547","ASSA",2016-10-01,0
"548","ASSA",2016-11-01,0
"549","ASSA",2016-12-01,0
"550","ASSA",2017-01-01,0
"551","ASSA",2017-02-01,0
"552","ASSA",2017-03-01,0
"553","ASSA",2017-04-01,0
"554","ASSA",2017-05-01,0
"555","ASSA",2017-06-01,0
"556","ASSA",2017-07-01,0
"557","ASSA",2017-08-01,0
"558","ASSA",2017-09-01,0
"559","ASSA",2017-10-01,0
"560","ASSA",2017-11-01,0
"561","ASSA",2017-12-01,0
"562","ASSA",2018-01-01,0
"563","ASSA",2018-02-01,0
"564","ASSA",2018-03-01,0
"565","ASSA",2018-04-01,0
"566","ASSA",2018-05-01,343
"567","ASSA",2018-06-01,811
